gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison
Atxn7	745.790598409076	-0.40633669207665896	0.08919330344845097	-4.555686092639232	5.221486479266536e-6	5.632521894914398e-4	het_vs_wt
Xrn1	125.86344032398023	-0.6204269559788943	0.13625465032147893	-4.553436925015478	5.27765004785363e-6	5.647923273433201e-4	het_vs_wt
Zbtb41	236.71935794648553	-0.4488984549341305	0.09876450204045897	-4.545139657062603	5.489884171869993e-6	5.828787257755511e-4	het_vs_wt
Cdc7	303.3554937758167	-0.42958865194691725	0.09487319777189233	-4.528029644155091	5.953623096366301e-6	6.271769830578375e-4	het_vs_wt
Ptpn1	1362.5041502699223	-0.3188482715098347	0.0705419840035272	-4.519978790132864	6.184582712841194e-6	6.464566922476795e-4	het_vs_wt
Sh2d3c	621.9612492656382	0.3979818902031294	0.0881638671260804	4.514115625554264	6.358152326022812e-6	6.594871228007046e-4	het_vs_wt
Sbk1	2440.493730362812	-0.3631732515429757	0.08049430816965644	-4.511787973598354	6.4283430819135765e-6	6.616776955459746e-4	het_vs_wt
9330159F19Rik	1419.4495605858951	-0.30281916567951345	0.067236664314691	-4.503780322328519	6.675521237560282e-6	6.819146088429004e-4	het_vs_wt
Pik3c2a	266.4984220420274	-0.5345763302636876	0.11897651896115018	-4.493124651245215	7.018567415284561e-6	7.115666393059926e-4	het_vs_wt
Son	4936.99584091818	-0.3949547416062802	0.08799482425755613	-4.4883860492779535	7.1764793462019395e-6	7.213487386473991e-4	het_vs_wt
Rasl11b	1240.8903351719746	0.37026309499556465	0.0825183920939538	4.4870371998280145	7.222046849406621e-6	7.213487386473991e-4	het_vs_wt
Cbfa2t3	928.5681474109804	-0.3953601413312136	0.08822568190371292	-4.481236447259186	7.421183670300124e-6	7.357885338994622e-4	het_vs_wt
Rif1	276.65867283059384	-0.5162753644698471	0.1152884458962513	-4.4781188648726005	7.530367044557931e-6	7.357932552812982e-4	het_vs_wt
Rsbn1l	424.52935421625045	-0.3758531388515773	0.08390654470761236	-4.479425772581936	7.484411080275784e-6	7.357932552812982e-4	het_vs_wt
Aff4	2713.480517591681	-0.3723193838566413	0.08323959212140597	-4.472864106705484	7.717882836138167e-6	7.486901594423529e-4	het_vs_wt
Pds5a	503.4771904743878	-0.3656131631112637	0.081836108264059515	-4.467626465466129	7.909225466365713e-6	7.61771401346252e-4	het_vs_wt
4933404O12Rik	332.83464004762305	0.3790206750106312	0.08494988884438737	4.461697127172557	8.131309775958717e-6	7.776069575817543e-4	het_vs_wt
Unc13c	456.75399961388894	-0.5849467315195407	0.13120022730088612	-4.45842772953481	8.256302427294318e-6	7.785173561513048e-4	het_vs_wt
Kdm5d	414.30214471628335	-0.37270478011350994	0.08359441335901108	-4.458489092002631	8.253939652700053e-6	7.785173561513048e-4	het_vs_wt
Pcsk1	533.7660549970261	-0.5345527898205765	0.12034458365903383	-4.441851669328947	8.918803578157532e-6	8.351468572769178e-4	het_vs_wt
Macf1	6993.96202503033	-0.321276868751167	0.07241702796983716	-4.436482382085384	9.144081512751677e-6	8.503365180547835e-4	het_vs_wt
Atf3	28.37862974318141	-0.5738520764555666	0.12958074459291097	-4.428528931967262	9.487799310446579e-6	8.694824626570265e-4	het_vs_wt
Tcf4	4022.5569828017783	-0.3169288369930762	0.07158564601165214	-4.427267960136716	9.5434147488312e-6	8.694824626570265e-4	het_vs_wt
Serac1	678.7827658171186	-0.2619126896246148	0.05912740553906823	-4.429632709853249	9.439371200522943e-6	8.694824626570265e-4	het_vs_wt
Ttc14	2383.6377983979423	-0.37728738896600106	0.08532498086067165	-4.421769394617022	9.7895908374637e-6	8.859251198145003e-4	het_vs_wt
Rbbp7	1860.3787239314952	0.21716486663249188	0.04914799712660474	4.41859036642078	9.934674052536928e-6	8.930609661627195e-4	het_vs_wt
Banp	702.7983123827054	-0.33449187464049196	0.07582781885798576	-4.411202638796001	1.0279805684460111e-5	9.179662241672857e-4	het_vs_wt
Igsf9b	550.0689058935249	-0.5949597690055772	0.13506211080498876	-4.405082709425576	1.0574352397015139e-5	9.38056366587843e-4	het_vs_wt
C030023E24Rik	241.766982837732	-0.5017359392819645	0.11413519521026336	-4.395979157503969	1.1027451571491668e-5	9.593171418709268e-4	het_vs_wt
